date,fips,county,cases,deaths
2020-02-18,39099,Mahoning,0.0,0.0
2020-02-19,39099,Mahoning,0.0,0.0
2020-02-20,39099,Mahoning,0.0,0.0
2020-02-21,39099,Mahoning,0.0,0.0
2020-02-22,39099,Mahoning,0.0,0.0
2020-02-23,39099,Mahoning,0.0,0.0
2020-02-24,39099,Mahoning,0.0,0.0
2020-02-25,39099,Mahoning,0.0,0.0
2020-02-26,39099,Mahoning,0.0,0.0
2020-02-27,39099,Mahoning,0.0,0.0
2020-02-28,39099,Mahoning,0.0,0.0
2020-02-29,39099,Mahoning,1.0,1.0
2020-03-01,39099,Mahoning,4.0,1.0
2020-03-02,39099,Mahoning,5.0,1.0
2020-03-03,39099,Mahoning,5.0,1.0
2020-03-04,39099,Mahoning,7.0,2.0
2020-03-05,39099,Mahoning,7.0,2.0
2020-03-06,39099,Mahoning,11.0,2.0
2020-03-07,39099,Mahoning,12.0,2.0
2020-03-08,39099,Mahoning,13.0,3.0
2020-03-09,39099,Mahoning,18.0,4.0
2020-03-10,39099,Mahoning,26.0,4.0
2020-03-11,39099,Mahoning,27.0,4.0
2020-03-12,39099,Mahoning,31.0,4.0
2020-03-13,39099,Mahoning,39.0,4.0
2020-03-14,39099,Mahoning,40.0,4.0
2020-03-15,39099,Mahoning,48.0,5.0
2020-03-16,39099,Mahoning,54.0,5.0
2020-03-17,39099,Mahoning,72.0,8.0
2020-03-18,39099,Mahoning,84.0,10.0
2020-03-19,39099,Mahoning,100.0,11.0
2020-03-20,39099,Mahoning,119.0,12.0
2020-03-21,39099,Mahoning,133.0,14.0
2020-03-22,39099,Mahoning,141.0,15.0
2020-03-23,39099,Mahoning,153.0,17.0
2020-03-24,39099,Mahoning,180.0,21.0
2020-03-25,39099,Mahoning,199.0,24.0
2020-03-26,39099,Mahoning,222.0,26.0
2020-03-27,39099,Mahoning,241.0,26.0
2020-03-28,39099,Mahoning,266.0,29.0
2020-03-29,39099,Mahoning,275.0,30.0
2020-03-30,39099,Mahoning,296.0,31.0
2020-03-31,39099,Mahoning,307.0,31.0
2020-04-01,39099,Mahoning,328.0,31.0
2020-04-02,39099,Mahoning,339.0,31.0
2020-04-03,39099,Mahoning,351.0,33.0
2020-04-04,39099,Mahoning,364.0,34.0
2020-04-05,39099,Mahoning,373.0,34.0
2020-04-06,39099,Mahoning,388.0,35.0
2020-04-07,39099,Mahoning,401.0,35.0
2020-04-08,39099,Mahoning,415.0,35.0
2020-04-09,39099,Mahoning,427.0,35.0
2020-04-10,39099,Mahoning,442.0,35.0
2020-04-11,39099,Mahoning,454.0,35.0
2020-04-12,39099,Mahoning,463.0,35.0
2020-04-13,39099,Mahoning,469.0,35.0
2020-01-21,39101,Marion,0.0,0.0
2020-01-22,39101,Marion,0.0,0.0
2020-01-23,39101,Marion,0.0,0.0
2020-01-24,39101,Marion,0.0,0.0
2020-01-25,39101,Marion,0.0,0.0
2020-01-26,39101,Marion,0.0,0.0
2020-01-27,39101,Marion,0.0,0.0
2020-01-28,39101,Marion,0.0,0.0
2020-01-29,39101,Marion,0.0,0.0
2020-01-30,39101,Marion,0.0,0.0
2020-01-31,39101,Marion,0.0,0.0
2020-02-01,39101,Marion,0.0,0.0
2020-02-02,39101,Marion,0.0,0.0
2020-02-03,39101,Marion,0.0,0.0
2020-02-04,39101,Marion,0.0,0.0
